title,year,author,director,studio, source
Mrs. Wiggs of the Cabbage Patch,1934,Alice Hegan Rice,Norman Taurog,Paramount,Mrs. Wiggs of the Cabbage Patch
The Woman Who Was Forgotten,1930,Bess Streeter Aldrich,Richard Thomas,States Cinema,The Woman Who Was Forgotten
Come and Get It,1936,Edna Ferber,"Howard Hawks,William Wyler",Howard Productions Inc,Come and Get It
Cimarron,1931,Edna Ferber,Wesley Ruggles,RKO,Cimarron
So Big,1932,Edna Ferber,William A. Wellman,Warner Bros,So Big
Underworld,1937,Edna Mae Baker,Oscar Micheaux,Micheaux Pictures,Chicago After Midnight
Imitation of Life,1934,Fannie Hurst,John M. Stahl,Universal,Imitation of Life
Back Street,1932,Fannie Hurst,John M. Stahl,Universal,Back Street
A Girl of the Limberlost,1934,Gene Stratton-Porter,Christy Cabanne,Monogram,A Girl of the Limberlost
Romance of the Limberlost,1938,Gene Stratton-Porter,William Nigh,Monogram,A Girl of the Limberlost
The Keeper of the Bees,1935,Gene Stratton-Porter,Christy Cabanne,Monogram,The Keeper of the Bees
The Harvester,1936,Gene Stratton-Porter,Joseph Santley,Republic,The Harvester
Michael O'Halloran,1937,Gene Stratton-Porter,Karl Brown,Republic,Michael O'Halloran
Freckles,1935,Gene Stratton-Porter,Edward Killy and William Hamilton,RKO,Freckles
Laddie,1935,Gene Stratton-Porter,George Stevens,RKO,Laddie
Tess of the Storm Country,1932,Grace Miller White,Alfred Santell,Fox Film Corporation,Tess of the Storm Country
Mother's Cry,1930,Helen Grace Carlisle,Hobart Henley,First National,Mother's Cry
Ramona,1936,Helen Hunt Jackson,Henry King,20th Century Fox, Ramona
Rebecca of Sunnybrook Farm,1932,Kate Douglas Wiggin,Alfred Santell,20th Century Fox, Rebecca of Sunnybrook Farm
Rebecca of Sunnybrook Farm,1938,Kate Douglas Wiggin,Allan Dwan,20th Century Fox,Rebecca of Sunnybrook Farm
Gone with the Wind,1939,Margaret Mitchell,Victor Fleming,Selznick International,Gone with the Wind 
