title,year,author,director,studio
Mrs. Wiggs of the Cabbage Patch,1942,Alice Hegan Rice,Ralph Murphy,Paramount
Cheers for Miss Bishop,1941,Bess Streeter Aldrich,Tay Garnett,United Artists
The Egg and I,1947,Betty MacDonald,Chester Erskine,Universal
A Tree Grows in Brooklyn,1945,Betty Smith,Elia Kazan,20th Century Fox
Pinky,1949,Cid Ricketts Sumner,Elia Kazan,20th Century Fox
That Hagen Girl,1947,Edith Roberts,Peter Godfrey,Warner Bros
In This Our Life,1942,Ellen Glasgow,John Huston,Warner Bros
Back Street,1948,Fannie Hurst,Esther Eng,Silver Light
Back Street,1941,Fannie Hurst,Robert Stevenson,Universal
Humoresque,1946,Fannie Hurst,Jean Negulesco,Warner Bros
A Girl of the Limberlost,1945,Gene Stratton-Porter,Mel Ferrer,Columbia
Keeper of the Bees,1947,Gene Stratton-Porter,John Sturges,Columbia
Her First Romance,1940,Gene Stratton-Porter,Edward Dmytryk,Monogram
Michael O'Halloran,1948,Gene Stratton-Porter,John Rawlins,Windsor Pictures Corp.
Laddie,1940,Gene Stratton-Porter,Jack Hively,RKO
I Remember Mama,1948,Kathryn Forbes,George Stevens,RKO
The Sun Comes Up,1949,Marjorie Kinnan Rawlings,Richard Thorpe,MGM
The Yearling,1946,Marjorie Kinnan Rawlings,Clarence Brown,MGM
My Friend Flicka,1943,Mary O'Hara,Harold Schuster,20th Century Fox
Thunderhead: Son of Flicka,1945,Mary O'Hara,Louis King,20th Century Fox
The Green Grass of Wyoming,1948,Mary O'Hara,Louis King,20th Century Fox
The Vanishing Virginian,1942,Rebecca Yancey Williams,Frank Borzage,MGM
