title,year,author,director,studio
Just Around the Corner,1921,Fannie Hurst,Frances Marion,Cosmopolitan Productions
The Good Provider,1922,Fannie Hurst,Frank Borzage,Cosmopolitan Productions
Humoresque,1920,Fannie Hurst,Frank Borzage,Cosmopolitan Productions
Back Street,1948,Fannie Hurst,Esther Eng,Silver Light
Imitation of Life,1934,Fannie Hurst,John M. Stahl,Universal
Back Street,1932,Fannie Hurst,John M. Stahl,Universal
Back Street,1941,Fannie Hurst,Robert Stevenson,Universal
Imitation of Life,1959,Fannie Hurst,Douglas Sirk,Universal
Back Street,1961,Fannie Hurst,David Miller,Universal
Humoresque,1946,Fannie Hurst,Jean Negulesco,Warner Bros
