title,year,author,director,studio
Freckles,1960,Gene Stratton-Porter,Andrew McLaglen,20th Century Fox
A Girl of the Limberlost,1945,Gene Stratton-Porter,Mel Ferrer,Columbia
Keeper of the Bees,1947,Gene Stratton-Porter,John Sturges,Columbia
Freckles,1928,Gene Stratton-Porter,James Leo Meehan,Film Booking Office
The Magic Garden,1927,Gene Stratton-Porter,James Leo Meehan,Gene Stratton Porter Productions
Michael O'Halloran,1923,Gene Stratton-Porter,James Leo Meehan,Gene Stratton Porter Productions
A Girl of the Limberlost,1924,Gene Stratton-Porter,James Leo Meehan,Gene Stratton Porter Productions
Laddie,1926,Gene Stratton-Porter,James Leo Meehan,Gene Stratton Porter Productions
The Keeper of the Bees,1925,Gene Stratton-Porter,James Leo Meehan,Gene Stratton Porter Productions
A Girl of the Limberlost,1934,Gene Stratton-Porter,Christy Cabanne,Monogram
Romance of the Limberlost,1938,Gene Stratton-Porter,William Nigh,Monogram
Her First Romance,1940,Gene Stratton-Porter,Edward Dmytryk,Monogram
The Keeper of the Bees,1935,Gene Stratton-Porter,Christy Cabanne,Monogram
Michael O'Halloran,1948,Gene Stratton-Porter,John Rawlins,Windsor Pictures Corp.
Freckles,1917,Gene Stratton-Porter,Marshall Neilan,Paramount
The Harvester,1936,Gene Stratton-Porter,Joseph Santley,Republic
Michael O'Halloran,1937,Gene Stratton-Porter,Karl Brown,Republic
Laddie,1940,Gene Stratton-Porter,Jack Hively,RKO
Freckles,1935,Gene Stratton-Porter,Edward Killy and William Hamilton,RKO
Laddie,1935,Gene Stratton-Porter,George Stevens,RKO
The Harvester,1927,Gene Stratton-Porter,James Leo Meehan,Robertson-Cole Pictures Corp
