title,year,author,director,studio
Mr. Opp,1917,Alice Hegan Rice,Lynn Reynolds,Bluebird Photoplays
Mrs. Wiggs of the Cabbage Patch,1914,Alice Hegan Rice,Harold Entwistle,California Motion Picture Co
Mrs. Wiggs of the Cabbage Patch,1919,Alice Hegan Rice,Hugh Ford,Famous Players-Lasky
Sunshine Nan,1918,Alice Hegan Rice,Charles Giblyn,Famous Players-Lasky
Lovey Mary,1926,Alice Hegan Rice,King Baggot,MGM
Mrs. Wiggs of the Cabbage Patch,1934,Alice Hegan Rice,Norman Taurog,Paramount
Mrs. Wiggs of the Cabbage Patch,1942,Alice Hegan Rice,Ralph Murphy,Paramount
Sandy,1918,Alice Hegan Rice,George Melford,Paramount
A Romance of Billy-Goat Hill,1916,Alice Hegan Rice,Lynn Reynolds,Universal
Judith of the Cumberlands,1916,Alice MacGowan,J.P. McGowan,Signal Film Corp.
Hungry Hearts,1922,Anzia Yezierska,E. Mason Hopper,Goldwyn Pictures
Salome of the Tenements,1925,Anzia Yezierska,Sidney Olcott,Paramount
Amarilly of Clothes-Line Alley,1918,Belle K. Maniates,Marshall Neilan,Artcraft Pictures Corporation
The Woman Who Was Forgotten,1930,Bess Streeter Aldrich,Richard Thomas,States Cinema
Cheers for Miss Bishop,1941,Bess Streeter Aldrich,Tay Garnett,United Artists
The Egg and I,1947,Betty MacDonald,Chester Erskine,Universal
A Tree Grows in Brooklyn,1945,Betty Smith,Elia Kazan,20th Century Fox
The Member of the Wedding,1953,Carson McCullers,Fred Zinnemann,Columbia
Pinky,1949,Cid Ricketts Sumner,Elia Kazan,20th Century Fox
Tammy and the Bachelor,1957,Cid Ricketts Sumner,Joseph Pevney,Universal
The Hanging Tree,1959,Dorothy M. Johnson,Delmer Davies,Warner Bros
That Hagen Girl,1947,Edith Roberts,Peter Godfrey,Warner Bros
So Big,1924,Edna Ferber,Charles Brabin,First National
Come and Get It,1936,Edna Ferber,"Howard Hawks,William Wyler",Howard Productions Inc
Cimarron,1960,Edna Ferber,Anthony Mann,MGM
Cimarron,1931,Edna Ferber,Wesley Ruggles,RKO
Ice Palace,1960,Edna Ferber,Vincent Sherman,Warner Bros
So Big,1932,Edna Ferber,William A. Wellman,Warner Bros
So Big,1953,Edna Ferber,Robert Wise,Warner Bros
Giant,1956,Edna Ferber,George Stevens,Warner Bros
Underworld,1937,Edna Mae Baker,Oscar Micheaux,Micheaux Pictures
Pollyanna,1960,Eleanor H. Porter,David Swift,Disney
Dawn,1919,Eleanor H. Porter,J. Stuart Blackton,J. Stuart Blackton Feature Pictures
Pollyanna,1920,Eleanor H. Porter,Paul Powell,Mary Pickford Company
Has Anybody Seen My Gal,1952,Eleanor H. Porter,Douglas Sirk,Universal
Kildare of Storm,1918,Eleanor Mercein Kelly,Harry L. Franklin,Metro Pictures
In This Our Life,1942,Ellen Glasgow,John Huston,Warner Bros
Just Around the Corner,1921,Fannie Hurst,Frances Marion,Cosmopolitan Productions
The Good Provider,1922,Fannie Hurst,Frank Borzage,Cosmopolitan Productions
Humoresque,1920,Fannie Hurst,Frank Borzage,Cosmopolitan Productions
Back Street,1948,Fannie Hurst,Esther Eng,Silver Light
Imitation of Life,1934,Fannie Hurst,John M. Stahl,Universal
Back Street,1932,Fannie Hurst,John M. Stahl,Universal
Back Street,1941,Fannie Hurst,Robert Stevenson,Universal
Imitation of Life,1959,Fannie Hurst,Douglas Sirk,Universal
Back Street,1961,Fannie Hurst,David Miller,Universal
Humoresque,1946,Fannie Hurst,Jean Negulesco,Warner Bros
Gene of the Northland,1915,Gene Gauntier,J.J. Clark,Bison Motion Pictures
Freckles,1960,Gene Stratton-Porter,Andrew McLaglen,20th Century Fox
A Girl of the Limberlost,1945,Gene Stratton-Porter,Mel Ferrer,Columbia
Keeper of the Bees,1947,Gene Stratton-Porter,John Sturges,Columbia
Freckles,1928,Gene Stratton-Porter,James Leo Meehan,Film Booking Office
The Magic Garden,1927,Gene Stratton-Porter,James Leo Meehan,Gene Stratton Porter Productions
Michael O'Halloran,1923,Gene Stratton-Porter,James Leo Meehan,Gene Stratton Porter Productions
A Girl of the Limberlost,1924,Gene Stratton-Porter,James Leo Meehan,Gene Stratton Porter Productions
Laddie,1926,Gene Stratton-Porter,James Leo Meehan,Gene Stratton Porter Productions
The Keeper of the Bees,1925,Gene Stratton-Porter,James Leo Meehan,Gene Stratton Porter Productions
A Girl of the Limberlost,1934,Gene Stratton-Porter,Christy Cabanne,Monogram
Romance of the Limberlost,1938,Gene Stratton-Porter,William Nigh,Monogram
Her First Romance,1940,Gene Stratton-Porter,Edward Dmytryk,Monogram
The Keeper of the Bees,1935,Gene Stratton-Porter,Christy Cabanne,Monogram
Michael O'Halloran,1948,Gene Stratton-Porter,John Rawlins,Windsor Pictures Corp.
Freckles,1917,Gene Stratton-Porter,Marshall Neilan,Paramount
The Harvester,1936,Gene Stratton-Porter,Joseph Santley,Republic
Michael O'Halloran,1937,Gene Stratton-Porter,Karl Brown,Republic
Laddie,1940,Gene Stratton-Porter,Jack Hively,RKO
Freckles,1935,Gene Stratton-Porter,Edward Killy and William Hamilton,RKO
Laddie,1935,Gene Stratton-Porter,George Stevens,RKO
The Harvester,1927,Gene Stratton-Porter,James Leo Meehan,Robertson-Cole Pictures Corp
The Panther Woman,1918,Gertrude Atherton,Ralph Ince,Petrova Picture Company
Tess of the Storm Country,1960,Grace Miller White,Paul Guilfoyle,20th Century Fox
